DateTimestamp,Ticker,Asset,CurrentHolding,Quantity,Action,Price,RiskTolerance,MarketCondition
2023-06-02 19:33:27,AAPL,Stocks,235,25,Buy,163,Moderate,Bullish
2023-06-05 15:16:22,AAPL,Stocks,348,57,Buy,192,Moderate,Bullish
2023-06-08 04:16:25,AAPL,Stocks,475,38,Sell,225,Moderate,Bullish
2023-06-09 02:05:00,AAPL,Stocks,262,71,Buy,180,Moderate,Bullish
2023-06-09 12:31:56,AAPL,Stocks,304,65,Sell,188,Moderate,Bullish
2023-06-09 15:49:00,AAPL,Stocks,314,55,Buy,185,Moderate,Bullish
2023-06-12 10:24:23,AAPL,Stocks,356,28,Sell,212,Moderate,Bullish
2023-06-17 03:30:30,AAPL,Stocks,276,44,Buy,175,Moderate,Bullish
2023-06-17 15:26:56,AAPL,Stocks,329,87,Buy,179,Moderate,Bullish
2023-06-24 02:48:37,AAPL,Stocks,322,71,Buy,208,Moderate,Bullish
2023-06-25 16:08:10,AAPL,Stocks,281,87,Buy,181,Moderate,Bullish
2023-06-27 02:26:46,AAPL,Stocks,281,82,Buy,161,Moderate,Bullish
2023-06-30 17:47:08,AAPL,Stocks,286,62,Buy,187,Moderate,Bullish
2023-07-05 17:48:46,AAPL,Stocks,316,73,Buy,172,Moderate,Bullish
2023-07-06 18:35:10,AAPL,Stocks,348,56,Sell,210,Moderate,Bullish
2023-07-14 14:19:39,AAPL,Stocks,400,100,Buy,191,Moderate,Bullish
2023-07-15 19:07:54,AAPL,Stocks,430,100,Sell,239,Moderate,Bullish
2023-07-15 19:28:43,AAPL,Stocks,349,51,Buy,202,Moderate,Bullish
2023-07-17 07:48:43,AAPL,Stocks,245,51,Sell,207,Moderate,Bullish
2023-07-18 05:15:03,AAPL,Stocks,422,70,Sell,238,Moderate,Bullish
2023-07-19 11:40:46,AAPL,Stocks,333,67,Buy,189,Moderate,Bullish
2023-07-27 13:32:13,AAPL,Stocks,334,57,Buy,215,Moderate,Bullish
2023-07-30 06:59:09,AAPL,Stocks,200,67,Buy,150,Moderate,Bullish
2023-08-05 22:38:23,AAPL,Stocks,432,100,Sell,212,Moderate,Bullish
2023-08-10 19:58:02,AAPL,Stocks,457,91,Sell,217,Moderate,Bullish
2023-08-12 21:34:04,AAPL,Stocks,404,100,Buy,213,Moderate,Bullish
2023-08-15 06:18:05,AAPL,Stocks,382,28,Sell,219,Moderate,Bullish
2023-08-15 10:55:03,AAPL,Stocks,365,74,Sell,185,Moderate,Bullish
2023-08-18 01:57:44,AAPL,Stocks,279,55,Buy,188,Moderate,Bullish
2023-08-18 06:50:28,AAPL,Stocks,475,100,Sell,240,Moderate,Bullish
2023-08-20 09:14:28,AAPL,Stocks,289,62,Buy,172,Moderate,Bullish
2023-08-20 14:14:22,AAPL,Stocks,469,49,Sell,231,Moderate,Bullish
2023-08-22 04:57:40,AAPL,Stocks,354,64,Sell,209,Moderate,Bullish
2023-09-02 02:46:56,AAPL,Stocks,397,37,Sell,220,Moderate,Bullish
2023-09-03 18:29:12,AAPL,Stocks,305,83,Sell,217,Moderate,Bullish
2023-09-06 04:38:26,AAPL,Stocks,344,95,Sell,205,Moderate,Bullish
2023-09-06 11:06:49,AAPL,Stocks,335,86,Sell,202,Moderate,Bullish
2023-09-11 00:35:35,AAPL,Stocks,387,40,Sell,206,Moderate,Bullish
2023-09-12 04:25:32,AAPL,Stocks,417,73,Sell,232,Moderate,Bullish
2023-09-14 17:54:06,AAPL,Stocks,264,29,Buy,171,Moderate,Bullish
2023-09-15 09:14:52,AAPL,Stocks,388,100,Sell,212,Moderate,Bullish
2023-09-19 14:16:47,AAPL,Stocks,303,83,Buy,201,Moderate,Bullish
2023-09-21 07:02:11,AAPL,Stocks,354,27,Buy,205,Moderate,Bullish
2023-09-24 09:14:33,AAPL,Stocks,322,64,Sell,198,Moderate,Bullish
2023-09-26 02:20:20,AAPL,Stocks,309,100,Buy,181,Moderate,Bullish
2023-09-28 22:47:10,AAPL,Stocks,417,100,Sell,240,Moderate,Bullish
2023-09-29 18:00:41,AAPL,Stocks,333,35,Buy,193,Moderate,Bullish
2023-09-30 15:59:42,AAPL,Stocks,475,69,Sell,231,Moderate,Bullish
2023-10-02 05:43:54,AAPL,Stocks,400,100,Sell,209,Moderate,Bullish
2023-10-05 01:14:49,AAPL,Stocks,348,92,Buy,197,Moderate,Bullish
2023-10-05 02:53:11,AAPL,Stocks,419,41,Sell,222,Moderate,Bullish
2023-10-15 17:33:30,AAPL,Stocks,407,66,Sell,202,Moderate,Bullish
2023-11-11 01:52:30,AAPL,Stocks,362,69,Buy,216,Moderate,Bullish
2023-11-17 07:05:31,AAPL,Stocks,406,100,Sell,228,Moderate,Bullish
2023-11-26 02:01:51,AAPL,Stocks,395,81,Sell,216,Moderate,Bullish
2023-11-30 15:00:23,AAPL,Stocks,410,83,Buy,202,Moderate,Bullish
2023-12-02 14:43:15,AAPL,Stocks,420,40,Sell,237,Moderate,Bullish
2023-12-04 18:38:04,AAPL,Stocks,466,60,Buy,232,Moderate,Bullish
2023-12-30 21:18:35,AAPL,Stocks,475,41,Sell,233,Moderate,Bullish
2023-12-31 10:10:00,AAPL,Stocks,459,83,Sell,226,Moderate,Bullish
2023-12-31 10:10:00,AAPL,Stocks,475,82,Sell,240,Moderate,Bullish
2023-12-31 10:10:00,AAPL,Stocks,475,89,Sell,240,Moderate,Bullish
2023-12-31 10:10:00,AAPL,Stocks,417,92,Sell,240,Moderate,Bullish
