DateTimestamp,Ticker,Asset,NetTradeAmount,Action
2023-01-11 09:14:47,VTINX,Stocks,5239,Buy
2023-02-09 23:07:19,VIIIX,Stocks,27774,Buy
2023-01-22 11:48:27,VIIIX,Stocks,22135,Buy
2023-01-07 04:09:37,VTINX,Stocks,8141,Buy
2023-02-12 04:29:36,VTINX,Bonds,8205,Buy
2023-01-19 10:03:38,VTPSX,Bonds,500,Sell
2023-02-01 17:53:26,VBMPX,Bonds,500,Sell
2023-02-09 03:57:46,VTPSX,Stocks,13359,Buy
2023-01-04 05:49:23,VIIIX,Bonds,11532,Buy
2023-01-20 10:38:46,VTPSX,Bonds,4208,Buy
2023-02-01 02:17:28,VIIIX,Stocks,19199,Buy
2023-01-14 02:30:56,VTPSX,Stocks,2486,Sell
2023-01-25 08:52:02,VTPSX,Stocks,20426,Sell
2023-01-03 09:30:00,VTINX,Stocks,19598,Buy
2023-01-24 07:18:20,VTINX,Stocks,13091,Buy
2023-01-08 09:05:54,VTINX,Stocks,11311,Buy
2023-01-21 19:42:28,VTPSX,Bonds,4264,Buy
2023-01-25 07:32:11,VBMPX,Bonds,500,Sell
2023-01-29 03:22:59,VTPSX,Bonds,1823,Buy
2023-02-05 08:07:46,VBMPX,Stocks,6069,Sell
2023-01-22 23:26:50,VIIIX,Stocks,21759,Buy
2023-01-24 19:50:53,VTPSX,Stocks,9108,Sell
2023-01-19 10:31:46,VTPSX,Bonds,500,Buy
2023-01-21 10:56:38,VIIIX,Bonds,16964,Buy
2023-01-06 20:56:59,VBMPX,Stocks,500,Sell
2023-02-03 16:00:27,VTPSX,Bonds,500,Buy
2023-02-19 11:58:26,VBMPX,Bonds,2344,Sell
2023-01-23 17:00:27,VTPSX,Stocks,500,Sell
2023-01-12 03:31:32,VTINX,Stocks,4449,Buy
2023-01-19 12:56:04,VTPSX,Stocks,13906,Sell
2023-02-14 18:26:10,VTINX,Bonds,500,Buy
2023-01-21 20:48:33,VIIIX,Bonds,12320,Buy
2023-01-27 16:41:13,VBMPX,Bonds,500,Sell
2023-02-05 00:42:26,VTPSX,Bonds,8635,Sell
2023-01-21 04:03:17,VTPSX,Bonds,4404,Buy
2023-01-12 07:16:15,VIIIX,Stocks,18716,Buy
2023-01-20 21:48:48,VTPSX,Bonds,9467,Sell
2023-01-27 19:55:49,VTPSX,Bonds,14403,Buy
2023-01-13 09:20:10,VBMPX,Stocks,2497,Sell
2023-02-20 12:10:00,VTINX,Bonds,6659,Buy
2023-01-22 12:10:16,VIIIX,Stocks,14899,Buy
2023-01-22 11:54:10,VIIIX,Stocks,15442,Buy
2023-01-26 18:57:01,VTPSX,Bonds,3158,Buy
2023-01-17 05:57:34,VTPSX,Stocks,10514,Sell
2023-01-16 07:23:29,VTPSX,Stocks,14884,Buy
2023-01-03 09:30:00,VIIIX,Bonds,12666,Buy
2023-01-09 18:47:36,VBMPX,Bonds,2344,Sell
2023-01-28 12:52:56,VIIIX,Stocks,23638,Buy
2023-01-29 03:12:28,VBMPX,Bonds,500,Sell
2023-01-30 11:37:16,VTINX,Stocks,12211,Sell
2023-01-13 11:44:07,VIIIX,Stocks,21086,Buy
2023-01-31 18:29:23,VIIIX,Stocks,30000,Buy
2023-01-26 18:47:02,VBMPX,Bonds,500,Sell
2023-01-18 13:50:18,VTINX,Bonds,500,Buy
2023-02-08 00:34:14,VIIIX,Stocks,17530,Buy
2023-01-31 08:01:43,VTINX,Stocks,20114,Buy
2023-01-08 00:51:17,VTINX,Stocks,2871,Buy
2023-01-17 15:21:18,VBMPX,Bonds,500,Sell
2023-01-17 09:51:44,VBMPX,Bonds,500,Sell
2023-01-12 15:45:26,VTPSX,Bonds,500,Sell
2023-01-13 21:29:07,VIIIX,Stocks,11012,Buy
2023-01-18 14:23:33,VIIIX,Bonds,21723,Buy
2023-01-24 20:34:19,VTPSX,Bonds,7972,Sell
2023-02-15 05:41:05,VTINX,Stocks,9641,Buy
2023-01-26 06:24:59,VBMPX,Bonds,568,Buy
2023-01-07 16:31:53,VIIIX,Bonds,12882,Buy
2023-01-17 21:55:19,VTPSX,Bonds,500,Sell
2023-01-20 03:23:01,VBMPX,Stocks,1683,Sell
2023-01-31 22:05:57,VTINX,Bonds,13443,Sell
2023-02-02 00:52:03,VTPSX,Bonds,3975,Buy
2023-01-21 19:21:57,VTINX,Stocks,10549,Buy
2023-02-08 11:53:43,VBMPX,Bonds,500,Sell
2023-01-22 12:16:20,VBMPX,Stocks,1002,Sell
2023-01-30 01:06:20,VTINX,Bonds,500,Buy
2023-02-12 13:00:36,VBMPX,Bonds,500,Sell
2023-01-13 21:18:14,VTINX,Bonds,13236,Sell
2023-01-21 01:01:24,VIIIX,Bonds,4150,Buy
2023-01-10 07:24:10,VTINX,Stocks,8438,Buy
2023-01-29 14:43:24,VBMPX,Bonds,5174,Sell
2023-02-04 22:42:33,VIIIX,Stocks,19285,Buy
2023-02-07 22:23:30,VTPSX,Bonds,7197,Buy
2023-01-31 01:07:59,VTPSX,Stocks,500,Sell
2023-02-07 04:29:07,VTPSX,Bonds,9605,Buy
2023-01-10 21:22:18,VTINX,Stocks,4332,Sell
2023-02-20 12:10:00,VBMPX,Bonds,1354,Sell
2023-01-14 09:00:12,VTPSX,Bonds,500,Sell
2023-01-31 15:36:56,VIIIX,Bonds,10090,Buy
2023-02-14 06:00:14,VTPSX,Bonds,7981,Sell
2023-02-06 19:07:56,VTPSX,Stocks,3826,Sell
2023-02-02 05:11:19,VTINX,Stocks,17309,Buy
2023-02-13 16:11:59,VTPSX,Bonds,4123,Buy
2023-01-16 02:51:37,VIIIX,Stocks,25930,Buy
2023-01-14 08:03:31,VIIIX,Stocks,21162,Buy
2023-01-18 17:58:22,VTINX,Stocks,3884,Sell
2023-01-11 21:09:59,VTINX,Stocks,1071,Buy
2023-02-02 20:21:09,VIIIX,Bonds,9701,Buy
2023-01-12 23:38:11,VTINX,Stocks,10072,Buy
2023-01-06 03:32:35,VTINX,Bonds,500,Sell
2023-01-20 21:24:21,VIIIX,Stocks,25172,Buy
2023-01-23 06:30:04,VTPSX,Stocks,4965,Sell
2023-01-19 11:45:10,VTPSX,Bonds,500,Sell
2023-01-20 08:11:32,VTINX,Stocks,18539,Buy
2023-02-17 09:20:29,VBMPX,Bonds,500,Sell
2023-01-27 08:42:00,VTINX,Bonds,7994,Buy
2023-02-18 02:13:19,VTPSX,Stocks,10948,Sell
2023-01-19 13:27:51,VBMPX,Bonds,500,Sell
2023-01-30 00:53:18,VBMPX,Bonds,3860,Sell
2023-01-31 04:56:47,VIIIX,Stocks,22804,Buy
2023-01-18 08:09:07,VTINX,Stocks,16959,Sell
2023-01-03 09:30:00,VIIIX,Stocks,20603,Buy
2023-01-03 09:30:00,VTINX,Stocks,7420,Sell
2023-01-28 18:18:29,VIIIX,Stocks,26603,Buy
2023-01-12 21:43:56,VTPSX,Bonds,500,Buy
2023-02-18 01:49:45,VTINX,Bonds,8572,Buy
2023-01-09 14:42:00,VIIIX,Stocks,20972,Buy
2023-02-02 03:12:00,VTINX,Bonds,17079,Buy
2023-02-20 12:10:00,VTPSX,Stocks,9323,Sell
2023-01-17 13:55:25,VTINX,Bonds,7101,Buy
2023-01-20 03:49:08,VTPSX,Bonds,500,Buy
2023-01-31 17:40:36,VIIIX,Stocks,6968,Buy
2023-02-20 12:10:00,VBMPX,Bonds,500,Sell
2023-01-21 22:53:14,VBMPX,Bonds,500,Sell
2023-01-03 09:30:00,VBMPX,Bonds,4487,Sell
2023-02-02 19:07:04,VTPSX,Bonds,6370,Buy
2023-01-21 08:17:29,VTINX,Bonds,6719,Buy
2023-02-02 17:30:21,VTPSX,Stocks,6338,Buy
2023-01-12 16:48:05,VTINX,Bonds,1751,Buy
2023-01-19 02:39:10,VTPSX,Stocks,500,Sell
2023-01-06 09:09:58,VTINX,Bonds,500,Buy
2023-02-03 18:57:59,VIIIX,Stocks,13760,Buy
2023-02-01 02:47:55,VBMPX,Bonds,500,Sell
2023-01-29 02:04:12,VTPSX,Bonds,1241,Buy
2023-01-24 05:06:53,VBMPX,Bonds,500,Sell
2023-01-18 11:52:30,VTPSX,Stocks,10729,Sell
2023-01-24 02:09:55,VTPSX,Bonds,2331,Buy
2023-01-05 22:41:45,VTPSX,Bonds,500,Buy
2023-01-09 18:47:18,VTPSX,Bonds,7170,Sell
2023-02-06 21:16:08,VTINX,Stocks,7356,Buy
2023-02-16 04:11:45,VBMPX,Bonds,500,Sell
2023-01-21 22:16:06,VBMPX,Bonds,4788,Sell
2023-02-02 04:27:40,VTPSX,Bonds,10852,Buy
2023-02-08 09:03:55,VIIIX,Stocks,21775,Buy
2023-02-09 20:02:35,VTPSX,Bonds,3372,Buy
2023-02-01 14:25:24,VBMPX,Bonds,500,Sell
2023-02-02 01:28:58,VIIIX,Bonds,9789,Buy
2023-02-18 04:42:47,VTPSX,Bonds,8544,Buy
2023-01-29 18:49:06,VTINX,Stocks,500,Buy
2023-02-07 11:49:54,VBMPX,Bonds,4739,Sell
2023-02-18 07:58:57,VIIIX,Stocks,9648,Buy
2023-02-03 10:13:46,VIIIX,Stocks,10963,Buy
2023-02-11 20:01:05,VTINX,Stocks,13365,Buy
2023-02-19 00:16:26,VTPSX,Bonds,8915,Buy
2023-02-08 10:14:32,VTINX,Stocks,15779,Buy
2023-01-23 22:02:30,VTINX,Bonds,13484,Buy
2023-01-26 11:12:23,VBMPX,Bonds,5418,Sell
2023-02-06 09:49:00,VTINX,Bonds,8028,Buy
2023-01-29 15:12:10,VTINX,Stocks,18993,Buy
2023-02-04 04:38:26,VTINX,Bonds,4320,Buy
2023-02-03 22:42:54,VTPSX,Stocks,20073,Sell
2023-01-22 05:15:40,VTINX,Stocks,13303,Buy
2023-02-08 03:51:03,VTPSX,Bonds,11199,Buy
2023-01-27 15:17:24,VBMPX,Stocks,500,Sell
2023-01-10 23:13:15,VTINX,Stocks,6243,Buy
2023-01-27 17:34:18,VBMPX,Bonds,500,Sell
2023-02-20 12:10:00,VBMPX,Bonds,500,Sell
2023-02-03 04:22:15,VIIIX,Stocks,10560,Buy
2023-01-30 21:57:18,VTPSX,Bonds,9118,Sell
2023-01-14 01:15:46,VTPSX,Bonds,6300,Sell
2023-01-31 07:16:11,VBMPX,Bonds,500,Sell
2023-01-03 09:30:00,VIIIX,Stocks,25869,Buy
2023-01-23 02:44:16,VTINX,Bonds,500,Buy
2023-02-06 00:52:22,VBMPX,Bonds,500,Sell
2023-02-07 19:26:04,VBMPX,Bonds,500,Sell
2023-01-13 09:16:40,VTINX,Stocks,11677,Sell
2023-02-08 04:38:11,VTINX,Stocks,10382,Buy
2023-01-15 16:01:48,VBMPX,Stocks,7512,Sell
2023-02-08 06:51:03,VTINX,Stocks,23921,Buy
2023-01-18 03:36:19,VIIIX,Stocks,22792,Buy
2023-02-04 15:10:14,VIIIX,Bonds,18356,Buy
2023-01-06 08:38:46,VIIIX,Bonds,16309,Buy
2023-01-11 08:30:42,VIIIX,Stocks,20822,Buy
2023-02-07 11:54:32,VIIIX,Bonds,25406,Buy
2023-01-23 08:42:52,VBMPX,Bonds,500,Sell
2023-01-26 09:40:38,VTPSX,Bonds,8444,Sell
2023-02-01 09:12:36,VTINX,Stocks,29354,Buy
2023-01-23 20:17:18,VIIIX,Stocks,17710,Buy
2023-01-19 14:25:46,VIIIX,Stocks,23318,Buy
2023-01-22 02:19:38,VTPSX,Stocks,5711,Sell
2023-02-04 04:43:41,VTINX,Stocks,812,Buy
2023-01-22 23:27:43,VTINX,Stocks,18333,Buy
2023-02-13 00:10:41,VBMPX,Bonds,500,Sell
2023-02-18 12:18:35,VIIIX,Stocks,8375,Buy
2023-01-19 15:16:56,VTPSX,Stocks,500,Sell
2023-01-25 14:05:57,VTPSX,Bonds,1081,Sell
2023-01-30 19:30:15,VTPSX,Stocks,5139,Buy
2023-01-28 17:05:17,VIIIX,Stocks,22393,Buy
2023-02-15 16:35:18,VTPSX,Stocks,10698,Sell
2023-01-03 09:30:00,VTPSX,Bonds,2295,Sell
2023-02-11 18:43:03,VBMPX,Bonds,2484,Buy
2023-01-17 22:08:07,VTINX,Bonds,17557,Buy
2023-01-22 14:16:29,VTPSX,Stocks,22215,Sell
2023-01-30 14:05:37,VIIIX,Stocks,28178,Buy
2023-02-14 11:32:46,VTPSX,Stocks,500,Buy
2023-02-20 12:10:00,VTPSX,Bonds,4050,Sell
2023-01-03 09:30:00,VTINX,Stocks,7936,Buy
2023-01-30 10:58:42,VIIIX,Bonds,26052,Buy
2023-01-29 19:38:23,VBMPX,Stocks,2458,Sell
2023-01-03 09:30:00,VTINX,Bonds,1822,Buy
2023-02-12 15:44:59,VBMPX,Bonds,2042,Sell
2023-02-04 23:12:35,VTINX,Stocks,4176,Sell
2023-01-23 22:48:31,VTINX,Bonds,7255,Buy
2023-01-11 21:45:31,VTPSX,Bonds,813,Sell
2023-02-10 07:34:07,VTPSX,Bonds,5477,Buy
2023-02-09 23:34:04,VTINX,Stocks,21663,Sell
2023-02-12 03:39:12,VTPSX,Stocks,16958,Buy
2023-01-06 07:11:01,VTINX,Stocks,19225,Buy
2023-01-15 00:16:04,VTPSX,Bonds,4574,Sell
2023-02-04 04:31:23,VBMPX,Bonds,500,Sell
2023-02-04 06:02:53,VTINX,Stocks,8054,Buy
2023-01-28 20:58:19,VTPSX,Bonds,10090,Sell
2023-02-04 06:14:28,VBMPX,Bonds,1726,Sell
2023-01-27 21:20:17,VTPSX,Stocks,10383,Sell
2023-01-19 18:23:16,VTPSX,Bonds,11822,Buy
2023-02-05 06:19:25,VBMPX,Bonds,500,Sell
2023-02-10 20:11:23,VTINX,Stocks,2073,Buy
2023-02-01 11:43:03,VTPSX,Bonds,4336,Buy
2023-02-13 10:14:19,VTINX,Bonds,5750,Buy
2023-01-24 07:07:39,VIIIX,Bonds,2016,Buy
2023-01-31 20:33:14,VTPSX,Stocks,7162,Sell
2023-01-20 01:46:34,VTPSX,Bonds,7189,Sell
2023-02-09 07:45:13,VTPSX,Bonds,7039,Buy
2023-02-13 03:16:28,VIIIX,Stocks,6715,Buy
2023-02-08 06:13:03,VBMPX,Bonds,500,Sell
2023-01-29 14:42:21,VTINX,Bonds,19030,Buy
2023-02-11 07:16:20,VIIIX,Stocks,30000,Buy
2023-01-12 08:52:24,VIIIX,Stocks,30000,Buy
2023-01-08 22:18:26,VBMPX,Bonds,500,Sell
2023-02-20 12:10:00,VIIIX,Stocks,19072,Buy
2023-01-22 00:43:03,VTPSX,Stocks,500,Sell
2023-01-19 17:28:08,VTINX,Bonds,13562,Buy
2023-02-14 05:57:02,VTPSX,Bonds,8649,Sell
2023-01-16 06:10:57,VTINX,Bonds,11472,Buy
2023-01-05 20:01:16,VTPSX,Bonds,500,Sell
2023-02-04 05:02:25,VTINX,Bonds,10270,Buy
2023-02-20 12:10:00,VTPSX,Stocks,12030,Sell
2023-01-29 04:06:45,VIIIX,Stocks,16574,Buy
2023-01-03 09:30:00,VIIIX,Bonds,17611,Buy
2023-01-27 00:22:34,VBMPX,Bonds,500,Sell
2023-01-03 09:30:00,VIIIX,Stocks,10969,Buy
2023-01-29 02:31:18,VTPSX,Stocks,10574,Sell
2023-01-04 20:21:57,VTINX,Stocks,10028,Buy
2023-02-20 12:10:00,VTINX,Bonds,17249,Sell
2023-01-22 22:44:33,VIIIX,Stocks,15659,Buy
2023-02-20 12:10:00,VTINX,Bonds,500,Buy
2023-02-15 06:42:12,VTPSX,Bonds,2792,Buy
2023-02-11 22:46:48,VBMPX,Stocks,15207,Sell
2023-02-03 06:58:28,VBMPX,Stocks,5164,Sell
2023-01-09 06:56:39,VTINX,Stocks,3578,Buy
2023-01-30 21:17:25,VIIIX,Stocks,30000,Buy
2023-02-07 15:06:09,VIIIX,Stocks,10063,Buy
2023-02-20 12:10:00,VTINX,Bonds,8224,Buy
2023-01-19 02:27:32,VIIIX,Stocks,27975,Buy
2023-01-30 19:25:21,VIIIX,Bonds,1346,Buy
2023-01-16 10:22:26,VTPSX,Bonds,10960,Sell
2023-01-20 02:38:21,VIIIX,Stocks,13431,Buy
2023-01-30 02:21:38,VTPSX,Bonds,1674,Sell
2023-01-27 21:34:50,VTINX,Stocks,16929,Buy
2023-02-19 11:36:32,VTPSX,Bonds,12723,Buy
2023-02-04 13:45:08,VIIIX,Bonds,10313,Buy
2023-02-03 20:01:51,VBMPX,Bonds,3980,Sell
2023-01-16 21:19:12,VTPSX,Stocks,20470,Sell
2023-01-08 08:40:57,VIIIX,Stocks,20742,Buy
2023-01-28 19:08:19,VTINX,Stocks,21804,Buy
2023-01-23 22:13:18,VIIIX,Bonds,13038,Buy
2023-01-03 09:30:00,VTINX,Bonds,2715,Buy
2023-02-01 02:29:00,VIIIX,Stocks,20818,Sell
2023-02-19 02:24:19,VTINX,Stocks,11236,Buy
2023-01-21 07:59:10,VIIIX,Stocks,10626,Buy
2023-01-22 00:35:11,VTINX,Bonds,16750,Buy
2023-01-04 22:07:58,VIIIX,Stocks,25027,Buy
2023-02-20 12:10:00,VTPSX,Stocks,3012,Sell
2023-01-27 10:34:38,VTPSX,Bonds,10442,Buy
2023-02-10 10:29:39,VBMPX,Bonds,500,Sell
2023-02-09 20:26:22,VTPSX,Bonds,11435,Sell
2023-01-31 19:32:56,VTPSX,Stocks,24505,Sell
2023-02-01 17:38:35,VTPSX,Bonds,2873,Buy
2023-02-11 04:42:22,VIIIX,Bonds,16617,Buy
2023-01-06 22:00:48,VTINX,Stocks,7022,Buy
2023-02-06 11:18:12,VTPSX,Bonds,10195,Buy
2023-01-10 19:22:03,VTINX,Bonds,2914,Buy
2023-01-27 06:39:07,VTINX,Bonds,1545,Buy
2023-01-30 22:42:32,VIIIX,Bonds,12902,Buy
2023-01-26 03:10:01,VBMPX,Bonds,2698,Sell
2023-01-25 02:36:30,VBMPX,Bonds,500,Sell
2023-01-23 14:13:52,VBMPX,Bonds,500,Sell
2023-01-23 05:09:37,VTINX,Bonds,25194,Buy
2023-02-01 05:38:42,VBMPX,Bonds,500,Sell
2023-01-12 07:19:51,VTPSX,Bonds,6714,Buy
2023-01-29 11:08:21,VTINX,Stocks,8367,Buy
2023-01-09 02:34:17,VIIIX,Stocks,11281,Buy
2023-01-07 03:29:14,VTINX,Bonds,4332,Buy
2023-02-06 12:39:17,VIIIX,Stocks,17963,Buy
2023-01-08 13:36:09,VTINX,Stocks,15190,Buy
2023-01-08 03:45:52,VTINX,Stocks,5984,Sell
2023-01-12 03:12:59,VTPSX,Bonds,500,Buy
2023-02-20 12:10:00,VTPSX,Stocks,3442,Sell
2023-02-04 22:16:39,VIIIX,Bonds,18866,Buy
2023-01-22 00:48:00,VIIIX,Stocks,29015,Buy
2023-01-28 21:25:02,VIIIX,Bonds,11811,Buy
2023-01-03 09:30:00,VTPSX,Bonds,500,Buy
2023-02-16 03:13:42,VBMPX,Bonds,500,Sell
2023-02-11 11:24:25,VTINX,Stocks,11872,Buy
2023-01-08 17:04:50,VTINX,Stocks,7336,Buy
2023-02-01 22:13:38,VBMPX,Bonds,772,Sell
2023-02-09 14:11:03,VTINX,Stocks,12665,Buy
2023-01-24 10:00:17,VIIIX,Stocks,20631,Buy
2023-01-31 23:39:18,VTINX,Stocks,10662,Buy
2023-02-02 07:07:09,VTINX,Bonds,13205,Sell
2023-01-15 15:25:46,VBMPX,Stocks,17716,Sell
2023-01-03 09:30:00,VTPSX,Bonds,5170,Sell
2023-01-03 09:30:00,VBMPX,Stocks,500,Sell
2023-01-18 22:41:20,VTINX,Bonds,7609,Buy
2023-01-29 02:17:55,VBMPX,Stocks,7285,Sell
2023-01-18 07:22:23,VTPSX,Bonds,4774,Sell
2023-01-25 05:09:38,VTINX,Stocks,12196,Buy
2023-01-31 04:46:45,VTINX,Stocks,24833,Sell
2023-01-22 15:41:27,VTINX,Bonds,15764,Buy
2023-01-25 16:06:56,VTINX,Stocks,4968,Sell
2023-02-01 17:17:02,VBMPX,Stocks,500,Buy
2023-01-09 07:43:44,VTINX,Bonds,3615,Buy
2023-01-24 11:07:02,VBMPX,Bonds,5945,Sell
2023-02-02 13:12:44,VBMPX,Bonds,11554,Sell
2023-01-25 20:13:30,VTINX,Stocks,17626,Buy
2023-01-13 20:22:33,VIIIX,Stocks,14494,Buy
2023-02-12 03:54:12,VTPSX,Bonds,3353,Buy
2023-02-05 06:47:49,VIIIX,Stocks,3500,Buy
2023-01-26 15:16:33,VBMPX,Bonds,500,Sell
2023-02-07 20:25:42,VTINX,Bonds,2718,Buy
2023-01-18 01:30:19,VIIIX,Stocks,22303,Buy
2023-01-10 03:09:42,VIIIX,Stocks,16502,Buy
2023-02-01 16:17:03,VTPSX,Bonds,17948,Buy
2023-01-29 09:15:28,VTINX,Stocks,5822,Buy
2023-02-07 16:02:02,VTPSX,Bonds,11772,Buy
2023-01-21 02:47:51,VTINX,Stocks,4000,Buy
2023-01-17 03:56:05,VTINX,Bonds,8458,Sell
2023-02-05 16:33:59,VBMPX,Bonds,500,Sell
2023-01-22 02:48:18,VIIIX,Stocks,17966,Buy
2023-01-03 09:30:00,VIIIX,Bonds,7608,Buy
2023-01-31 20:19:46,VTPSX,Bonds,9192,Buy
2023-02-20 12:10:00,VTPSX,Stocks,10360,Sell
2023-01-31 17:50:33,VTPSX,Bonds,8525,Sell
2023-01-06 19:43:36,VTINX,Bonds,12434,Sell
2023-02-12 07:16:46,VTPSX,Stocks,1094,Buy
2023-01-09 08:37:11,VBMPX,Bonds,500,Sell
2023-01-20 00:55:05,VIIIX,Stocks,25696,Buy
2023-01-28 23:31:44,VTPSX,Stocks,6644,Buy
2023-02-13 19:43:55,VTINX,Bonds,2003,Buy
2023-01-03 09:30:00,VTPSX,Stocks,15505,Sell
2023-01-28 11:22:53,VBMPX,Bonds,500,Sell
2023-01-31 15:03:31,VIIIX,Bonds,17248,Buy
2023-02-06 20:10:23,VBMPX,Bonds,500,Sell
2023-01-25 00:12:40,VBMPX,Bonds,500,Sell
2023-01-14 13:31:09,VTINX,Bonds,10344,Buy
2023-01-24 04:21:12,VBMPX,Bonds,500,Sell
2023-01-03 09:30:00,VTINX,Stocks,4400,Buy
2023-02-07 12:03:48,VTINX,Stocks,27959,Buy
2023-02-06 20:31:47,VTINX,Stocks,16453,Buy
2023-01-03 09:30:00,VIIIX,Stocks,12849,Buy
2023-01-28 04:26:36,VIIIX,Bonds,11514,Buy
2023-02-06 00:22:33,VTPSX,Stocks,8184,Sell
2023-01-15 05:55:04,VTINX,Stocks,22308,Buy
2023-02-12 02:10:48,VTPSX,Bonds,2542,Buy
2023-01-30 23:39:02,VBMPX,Bonds,500,Sell
2023-01-11 16:40:08,VBMPX,Bonds,500,Sell
2023-01-27 11:38:58,VIIIX,Stocks,26467,Buy
2023-01-30 01:27:56,VTINX,Stocks,12841,Sell
2023-02-20 12:10:00,VIIIX,Stocks,13669,Buy
2023-02-17 07:22:42,VTINX,Bonds,14517,Buy
2023-02-11 12:42:25,VIIIX,Bonds,7317,Buy
2023-02-01 13:42:08,VIIIX,Bonds,7512,Buy
2023-01-07 03:18:52,VIIIX,Stocks,21374,Buy
2023-01-14 09:14:38,VBMPX,Bonds,500,Sell
2023-01-31 14:49:50,VBMPX,Bonds,500,Sell
2023-01-22 00:46:14,VBMPX,Bonds,500,Sell
2023-01-24 11:53:38,VBMPX,Stocks,6729,Sell
2023-01-21 12:42:02,VBMPX,Bonds,7846,Sell
2023-02-02 09:46:37,VIIIX,Stocks,25910,Buy
2023-01-03 11:21:09,VTINX,Bonds,18461,Buy
2023-01-07 04:49:50,VBMPX,Bonds,699,Sell
2023-01-27 11:15:01,VBMPX,Bonds,1881,Sell
2023-02-14 04:03:42,VTINX,Stocks,19132,Buy
2023-02-13 04:08:40,VTPSX,Stocks,3229,Buy
2023-02-08 11:47:26,VIIIX,Bonds,14218,Buy
2023-01-18 17:53:04,VTPSX,Bonds,10424,Sell
2023-01-03 09:30:00,VTINX,Stocks,15023,Buy
2023-01-07 14:41:53,VTPSX,Stocks,16548,Sell
2023-01-28 08:03:13,VIIIX,Stocks,18795,Buy
2023-01-24 15:43:02,VTINX,Stocks,6974,Buy
2023-01-30 03:53:56,VTINX,Bonds,13349,Buy
2023-02-20 11:50:58,VTINX,Bonds,17197,Buy
2023-02-10 14:01:22,VTPSX,Stocks,500,Sell
2023-01-03 09:30:00,VTPSX,Bonds,500,Buy
2023-01-18 01:56:58,VIIIX,Stocks,10016,Buy
2023-01-19 17:59:17,VBMPX,Bonds,500,Buy
2023-01-30 04:24:36,VTPSX,Stocks,7640,Sell
2023-01-12 01:54:30,VBMPX,Bonds,500,Sell
2023-02-08 23:31:39,VBMPX,Bonds,500,Sell
2023-01-23 03:46:09,VTINX,Bonds,8068,Buy
2023-02-11 19:15:38,VTPSX,Bonds,1406,Buy
2023-01-13 23:41:10,VTINX,Stocks,4425,Sell
2023-02-08 10:21:13,VTINX,Stocks,11130,Sell
2023-01-30 03:22:02,VTPSX,Bonds,5638,Buy
2023-01-14 10:47:04,VTINX,Bonds,9558,Sell
2023-01-29 15:23:22,VBMPX,Stocks,500,Sell
2023-01-21 23:09:48,VIIIX,Stocks,10785,Buy
2023-01-24 02:03:32,VIIIX,Stocks,30000,Buy
